country,bags
Angola,8
Bolivia,63 
Brazil,28333 
Burundi,392 
Cameroon,516 
Central African Republic,80 
Colombia,7170
"Congo, Dem. Rep. of",145
Costa Rica,1374
Côte d'Ivoire,1712
Cuba,15
Dominican Republic,137
Ecuador,1580
El Salvador,1044
Ethiopia,3203
Ghana,124 
Guatemala,3750
Guinea,316
Guyana,2
Haiti,10 
Honduras,5508 
India,5288 
Indonesia,10614 
Jamaica,15
Kenya,688 
"Lao, People's Dem. Rep. of",328 
Liberia,4
Madagascar,90 
Malawi,22
Mexico,3556 
Nepal,3
Nicaragua,1987 
Nigeria,1
Panama,49 
Papua New Guinea,925
Paraguay,1
Peru,4310 
Philippines,3
Rwanda,211
Sierra Leone,62 
Sri Lanka,2
Tanzania,756 
Thailand,350 
Timor-Leste,50 
Togo,147
Trinidad & Tobago,1
Uganda,2685
Venezuela,3 
Vietnam,25475 
Yemen,37
Zambia,6 
Zimbabwe,5 
