country,bags
Algeria,2117
Botswana,31 
Cape Verde,12 
Morocco,738
Niger,18
South Africa,542
Australia,1766
Hong Kong,283
Iran,156
Israel,639
Jordan,405
South Korea,2106
Lebanon,451
Macao,25
Malaysia,1742
New Zealand,286
Singapore,761
Taiwan,476
Aruba,2
Bosnia,397
Croatia,384
Georgia,155
Iceland,45 
Macedonia,148
Russia,4116
Serbia,599
Ukraine,1294
Canada,4443
Argentina,760
Chile,264
Uruguay,60
Austria,1559
Belgium,5668
Bulgaria,560
Cyprus,84
Czech Republic,1127
Denmark,914
Estonia,157
Finland,1238
France,6840 
Germany,21816
Greece,1244 
Hungary,748
Ireland,252 
Italy,8691 
Latvia,157 
Lithuania,325 
Luxembourg,322 
Malta,21
Netherlands,2730 
Poland,3539
Portugal,1028
Romania,903
Slovakia,772 
Slovenia,221 
Spain,5094 
Sweden,1680
United Kingdom,4126
Japan,7025
Norway,735 
Switzerland,2478
Tunisia,439
Turkey,722 
United States,26066
